Stock,Diff,Time1,Volatility,Momentum,Time2
2,0.04464444247182087,1,0.031568388014117245,0.04464444247182087,4.0
2,-8.21316805752818,4,3.735286234980179,-2.053292014382045,1.0
2,2.3982155539772663,1,1.6957944809643777,2.3982155539772663,4.0
2,-6.1355424360800015,4,2.680993657918264,-1.5338856090200004,1.0
2,1.115900213068187,1,0.7890606077880282,1.115900213068187,2.0
2,-4.617897727272734,2,2.313965157253511,-2.308948863636367,1.0
2,1.0713112571027352,1,0.757531454658829,1.0713112571027352,1.0
2,-3.1367742365054596,1,2.218034333684266,-3.1367742365054596,1.0
2,3.4208207563918194,1,2.4188855540683503,3.4208207563918194,5.0
2,-8.541881214488455,5,2.9448260904798933,-1.7083762428976912,2.0
2,3.854991566051183,2,1.9281234301847783,1.9274957830255914,3.0
2,-6.780733975497185,3,3.0671734942430393,-2.2602446584990616,3.0
2,6.14770507812446,3,2.744087669810671,2.0492350260414867,2.0
2,-2.657920143820462,2,1.335535871187974,-1.328960071910231,1.0
2,2.763438831675913,1,1.9540463372722683,2.763438831675913,2.0
2,-5.230640758167453,2,2.6240916664013345,-2.6153203790837267,1.0
2,2.166920055042638,1,1.5322438652097763,2.166920055042638,3.0
2,-2.467207475142004,3,1.0076820252845615,-0.8224024917140014,3.0
2,3.0434292879970855,3,1.3178411420718716,1.0144764293323618,1.0
2,-0.056818181818172775,1,0.04017652165832017,-0.056818181818172775,1.0
2,0.6898415305397236,1,0.4877916241887454,0.6898415305397236,1.0
3,0.6147674560546221,1,0.43470623702902617,0.6147674560546221,2.0
3,-4.535039520263695,2,2.307843806775103,-2.2675197601318473,5.0
3,8.891860198974655,5,3.483603996956723,1.778372039794931,2.0
3,-0.7662071228027401,2,0.3847922441133921,-0.38310356140137003,1.0
3,2.6639991760253423,1,1.8837318824428946,2.6639991760253423,4.0
3,-5.238912963867122,4,2.332754953000721,-1.3097282409667805,2.0
3,3.2074996948241363,2,1.836610207182238,1.6037498474120682,1.0
3,-0.062374877929627814,1,0.04410569915972295,-0.062374877929627814,1.0
3,0.6771423339844347,1,0.47881193618887974,0.6771423339844347,2.0
