Stock,Diff,Time1,Volatility,Momentum,SMA_3,SMA_10,MA_Diff,RSI,Time2
2,2.166920055042638,1,1.5322438652097763,2.166920055042638,89.12910785097061,89.8537137118251,-0.7246058608544814,42.6233436297255,3.0
3,-3.9202720642090725,3,2.010995097398126,-1.3067573547363576,97.671043395996,100.15832908630365,3.6396063995361345,60.23667796516671,8.0
3,10.789652252197257,8,3.5253449557230474,1.3487065315246571,104.31767807006827,101.20432846069329,3.1133496093749784,60.23667796516671,4.0
3,-5.238912963867122,4,2.332754953000721,-1.3097282409667805,101.91205444335937,103.29899688720698,-1.386942443847616,48.5105021482176,4.0
3,3.822267150878943,4,1.5170255334872815,0.9555667877197358,104.09790344238276,103.66251457214351,0.435388870239251,60.683582876973,2.0
3,-4.018270111084078,2,2.128297881833463,-2.009135055542039,102.92479705810543,103.16446243286127,-0.2396653747558446,45.283205139207276,1.0
3,2.3254211425780795,1,1.6443210590315294,2.3254211425780795,102.36051406860342,102.89717193603511,-0.5366578674316855,52.84763208483701,2.0
3,-7.760343933105489,2,3.880213745247142,-3.8801719665527443,98.96591491699206,101.80038825988761,-2.8344733428955493,34.85747307478333,8.0
3,5.372547912597781,8,1.568940713314194,0.6715684890747227,98.43430938720697,97.44889183044427,0.9854175567626982,52.03524582937388,2.0
3,-5.506182861328256,2,2.769210098309963,-2.753091430664128,97.86705551147456,97.35801361083978,0.5090419006347844,39.84240004085139,6.0
3,5.470545959472773,6,1.8565111846244284,0.9117576599121288,99.46188812255855,98.31580444335931,1.1460836791992364,53.35389413721637,1.0
3,-3.6440620422362997,1,2.576740981129787,-3.6440620422362997,98.48776245117186,98.17235801696772,0.3154044342041402,45.257227892902215,7.0
3,7.760343933105489,7,2.8288438275553043,1.1086205618722127,103.2069328308105,100.21089729309077,2.9960355377197345,61.811501805070634,2.0
3,-3.27878036499024,2,1.8508300402690578,-1.63939018249512,103.38512420654293,100.90407142639154,2.481052780151387,52.47193848732627,1.0
3,2.298703765869007,1,1.6254290207850288,2.298703765869007,103.05843200683584,101.58209815978996,1.476333847045879,57.353224578229856,2.0
3,-2.75309829711901,2,1.4404804684854315,-1.376549148559505,101.9268997192382,102.28774452209466,-0.36084480285646237,50.538542115203576,3.0
3,3.4569717407225937,3,1.5493570817639855,1.1523239135741978,102.82381439208973,102.71986770629874,0.1039466857909872,58.31698247031288,3.0
4,2.7370522238990844,2,1.4287281692703693,1.3685261119495422,104.63726852879363,102.53744922984713,-2.0800184770063623,36.198497176629,14.0
4,-8.423337069424548,14,2.1441960626749434,-0.6016669335303249,98.47006133108408,99.96377147327749,-1.4937101421934074,30.799569787392514,4.0
4,7.2139393199572766,4,3.043514583543643,1.8034848299893191,102.2467665238812,100.30537206476363,1.941394459117575,60.054205020832434,1.0
4,-2.2914817116477337,1,1.6203222572710694,-2.2914817116477337,103.37836294463166,100.4857212413439,2.892641703287765,52.24728560943893,1.0
4,3.2674754749645416,1,2.3104540657081625,3.2674754749645416,104.12097584117528,100.94401758367344,3.1769582575018376,60.19366188739255,14.0
4,-10.672364668412712,14,3.912788072152607,-0.7623117620294794,95.29452468409652,98.35125316273057,-3.0567284786340565,34.789908755956944,1.0
4,4.476880160245003,1,3.165632319868759,4.476880160245003,96.73024033055135,97.84203338623021,-1.1117930556788593,48.497916741371604,6.0
4,-11.18157820268091,6,4.225229711660834,-1.863596367113485,90.42159109404575,94.44724412397882,-4.025653029933068,28.591685967697742,5.0
4,5.452887795188175,5,1.7977411973237334,1.090577559037635,91.77244013006015,91.79082489013649,-0.018384760076344264,45.38571752063948,2.0
4,-2.970442338423638,2,1.5014996699414467,-1.485221169211819,92.25337404193272,91.15430381081295,1.099070231119768,39.53185365959091,7.0
4,3.2886921275745493,7,1.0709400503355397,0.4698131610820785,93.65371241713983,93.053264271129,0.6004481460108337,48.55502457040012,3.0
5,-19.312763214111243,13,8.24507200845337,-1.4855971703162494,85.03502104017446,89.41659609476703,-4.381575054592574,13.15890515213809,7.0
