Day,Close,High,Low,Open,SMA_3,SMA_10,MA_Diff,Volatility,RSI,Daily_Return,Next_Day_Close,Target,Stock
40,93.41694779829545,93.92823740700182,90.085406939235,90.25178485178172,91.51785370797809,93.60930064808217,-2.0914469401040776,1.5572153753848392,37.0055322668998,0.02011790994774909,89.29413396661927,0,2
41,89.29413396661927,92.06162116337363,88.71791386107019,91.6274276285509,91.42857961943643,92.75673495205947,-1.3281553326230409,1.670410828793798,31.149693029046375,-0.04413346752216851,87.2327048561789,0,2
42,87.2327048561789,90.78336859916072,86.92024842819373,89.83787558677528,89.98126220703121,92.01170376864327,-2.030441561612065,2.359537879630182,28.70388412396487,-0.023085829033416605,86.63621382279827,0,2
43,86.63621382279827,87.48837330302246,85.29710606816019,86.81475756062144,87.72101754853215,90.86494140624981,-3.1439238577176667,2.869897479577613,28.018346259573278,-0.006837928897929557,87.56950794566754,1,2
44,87.56950794566754,88.45413238916636,85.88954081070891,87.44777090959855,87.1461422082149,90.25666115500692,-3.110518946792027,2.748108448629296,30.803037845381198,0.010772563593074214,89.91904518821019,1,2
45,89.91904518821019,90.5561437188231,87.35445314174373,87.642568142479,88.04158898555868,89.89023271040469,-1.8486437248460135,1.4059318194067605,37.37166531276505,0.02683054064892576,92.78391890092273,1,2
46,92.78391890092273,93.03956867986,90.13410720851346,90.89699468098318,90.09082401160015,89.88049260919732,0.21033140240282933,2.538324696520603,44.313089143922404,0.031860588674135215,91.22569136186,0,2
47,91.22569136186,92.27668393108637,90.17875075011074,92.27668393108637,91.30955181699763,89.92147771661911,1.3880741003785175,2.538962231072727,41.611606054155516,-0.01679415525363448,90.12599875710227,0,2
48,90.12599875710227,92.79610011635454,89.436155452793,91.87089652682545,91.37853633996167,89.97788196910491,1.4006543708567563,1.914070545697366,39.768969522670524,-0.012054637113087407,92.88943758877818,1,2
49,92.88943758877818,93.55899141116637,89.54572043459918,89.5984751413969,91.41370923591347,90.10936001864329,1.304349217270186,1.4124199563654987,46.21443343805203,0.03066194960150881,89.90280983664773,0,2
50,89.90280983664773,92.84478849300363,89.47673016917545,92.35784030160636,90.97274872750938,89.75794622247852,1.2148025050308604,1.416655918895992,41.09587104476287,-0.03215250118481994,87.65879683061073,0,2
51,87.65879683061073,91.32714617476819,87.09475241664109,90.09759989006419,90.15034808534556,89.59441250887765,0.5559355764679026,1.9175343897582684,37.715822710294944,-0.024960432383752562,89.82571688565336,1,2
52,89.82571688565336,90.08541863423665,87.43155485888764,88.78689007734683,89.12910785097061,89.8537137118251,-0.7246058608544814,1.8610034236384485,42.6233436297255,0.02471993836773656,88.60833740234374,0,2
53,88.60833740234374,91.50161312496908,87.93472181878718,90.49119965661991,88.69761703953594,90.05092606977965,-1.3533090302437074,1.9721831891340669,40.68391015850982,-0.013552683190486858,88.5393565784801,0,2
54,88.5393565784801,89.57412155111973,87.358513083307,88.46226040605855,88.9911369554924,90.1479109330609,-1.1567739775685055,0.951058637964163,40.57125970468543,-0.0007784913461407195,87.35850941051136,0,2
55,87.35850941051136,88.66921363548,87.0825701146779,88.38109865320064,88.16873446377839,89.89185735529102,-1.7231228915126309,0.9656035572511569,38.60084746172182,-0.013336974805346014,88.36891867897727,1,2
56,88.36891867897727,88.78688451343127,86.19794138397327,87.65067209735446,88.08892822265625,89.45035733309648,-1.361429110440227,0.8779132951616848,41.230966852205086,0.011566237511194677,89.44426935369319,1,2
57,89.44426935369319,90.35324529965727,87.20430954500927,87.48836267056309,88.39056581439394,89.2722151322798,-0.8816493178858593,0.7447465562871765,43.98128963701713,0.012168878954176288,90.40193869850845,1,2
58,90.40193869850845,92.02509942599,89.80948107018281,89.80948107018281,89.4050422437263,89.29980912642041,0.10523311730588603,1.1522150776899187,46.38759409201995,0.01070688319928359,90.34512051669027,0,2
59,90.34512051669027,90.97409528736546,89.68369045763372,90.49120894235155,90.06377618963063,89.04537741921162,1.0183987704190116,1.3130202594672729,46.260628679251575,-0.0006285062315716239,91.03496204723,1,2
60,91.03496204723,91.22162948673181,90.00425898646463,90.97815538667818,90.59400708747624,89.15859264026986,1.4354144472063837,1.0354106735594726,48.11737350396983,0.007635625771424737,90.96596457741454,0,2
61,90.96596457741454,91.87087848023727,90.11380536889664,91.46102651715636,90.78201571377826,89.48930941495023,1.292706298828037,0.6388538324514076,47.93896448659953,-0.0007579227613634387,94.93460360440272,1,2
14,103.52173233032227,106.2659127987234,102.36346944087492,106.1946404159175,104.99183807373042,102.77510559082025,2.2167324829101744,1.2342012576688899,60.23667796516671,-0.018831297004132774,101.50815811157227,0,3
15,101.50815811157227,104.85820542414996,100.37662980734827,103.7088539228187,103.5128288269043,103.1778245544433,0.33500427246099207,1.803001685087417,51.52082927281276,-0.0194507392160419,100.70627288818356,0,3
16,100.70627288818356,102.46148374074282,99.34309075732885,101.58833071446173,101.91205444335937,103.29899688720698,-1.386942443847616,2.3327549530007134,48.5105021482176,-0.007899712085282062,103.86030349731438,1,3
